Anno;Tipo variazione;Codice Regione;Codice Istat del Comune;Denominazione Comune;Codice Istat del Comune associato alla variazione o nuovo codice Istat del Comune ;Denominazione Comune associata alla variazione o nuova denominazione;Provvedimento e Documento;Contenuto del provvedimento;Data decorrenza validità amministrativa
1992;AP;01;002012;Biella;096004;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002013;Bioglio;096005;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002018;Borriana;096006;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002020;Brusnengo;096007;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002022;Callabiana;096008;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002023;Camandona;096009;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002024;Camburzano;096010;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002026;Campiglia Cervo;096011;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002027;Candelo;096012;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002028;Caprile;096013;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002034;Casapinta;096014;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002036;Castelletto Cervo;096015;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002037;Cavaglià;096016;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002039;Cerreto Castello;096017;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002040;Cerrione;096018;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002044;Coggiola;096019;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002046;Cossato;096020;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002050;Crevacuore;096021;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002051;Crosa;096022;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002053;Curino;096023;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002055;Donato;096024;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002056;Dorzano;096025;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002060;Gaglianico;096026;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002063;Gifflenga;096027;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002064;Graglia;096028;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002069;Lessona;096029;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002073;Magnano;096030;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002074;Massazza;096031;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002075;Masserano;096032;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002076;Mezzana Mortigliengo;096033;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002077;Miagliano;096034;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002080;Mongrando;096035;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002081;Mosso Santa Maria;096036;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002083;Mottalciata;096037;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002084;Muzzano;096038;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002085;Netro;096039;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002086;Occhieppo Inferiore;096040;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002087;Occhieppo Superiore;096041;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002092;Pettinengo;096042;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002094;Piatto;096043;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002095;Piedicavallo;096044;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002098;Pistolesa;096045;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002099;Pollone;096046;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002100;Ponderano;096047;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002101;Portula;096048;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002103;Pralungo;096049;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002105;Pray;096050;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002106;Quaregna;096051;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002109;Quittengo;096052;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002117;Ronco Biellese;096053;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002119;Roppolo;096054;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002120;Rosazza;096055;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002124;Sagliano Micca;096056;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002125;Sala Biellese;096057;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002129;Salussola;096058;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002130;Sandigliano;096059;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002132;San Paolo Cervo;096060;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002136;Selve Marcone;096061;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002138;Soprana;096062;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002139;Sordevolo;096063;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002140;Sostegno;096064;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002141;Strona;096065;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002143;Tavigliano;096066;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002144;Ternengo;096067;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002145;Tollegno;096068;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002146;Torrazzo;096069;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002149;Trivero;096070;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002151;Valdengo;096071;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002153;Vallanzengo;096072;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002154;Valle Mosso;096073;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002155;Valle San Nicolao;096074;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002157;Veglio;096075;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002159;Verrone;096076;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002160;Vigliano Biellese;096077;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002161;Villa del Bosco;096078;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002162;Villanova Biellese;096079;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002165;Viverone;096080;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002167;Zimone;096081;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002168;Zubiena;096082;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002169;Zumaglia;096083;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;003003;Antrona Schieranco;103001;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003004;Anzola d'Ossola;103002;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003005;Arizzano;103003;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003007;Arola;103004;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003009;Aurano;103005;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003010;Baceno;103006;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003011;Bannio Anzino;103007;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003013;Baveno;103008;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003014;Bee;103009;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003015;Belgirate;103010;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003017;Beura-Cardezza;103011;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003020;Bognanco;103012;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003028;Brovello-Carpugnino;103013;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003029;Calasca-Castiglione;103014;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003031;Cambiasca;103015;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003033;Cannero Riviera;103016;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003034;Cannobio;103017;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003035;Caprezzo;103018;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003038;Casale Corte Cerro;103019;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003046;Cavaglio-Spoccia;103020;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003048;Ceppo Morelli;103021;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003050;Cesara;103022;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003053;Cossogno;103023;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003054;Craveggia;103024;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003056;Crevoladossola;103025;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003057;Crodo;103026;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003059;Cursolo-Orasso;103027;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003061;Domodossola;103028;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003063;Druogno;103029;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003064;Falmenta;103030;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003067;Formazza;103031;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003072;Germagno;103032;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003074;Ghiffa;103033;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003075;Gignese;103034;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003078;Gravellona Toce;103035;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003080;Gurro;103036;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003081;Intragna;103037;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003085;Loreglia;103038;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003086;Macugnaga;103039;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003087;Madonna del Sasso;103040;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003089;Malesco;103041;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
1992;AP;01;003092;Masera;103042;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;
