codreg,codprov,codcom
01,003,003060
01,003,003062
01,003,003065
01,003,003066
01,003,003068
01,003,003069
01,003,003070
01,003,003073
01,003,003076
01,003,003077
01,003,003079
01,003,003082
01,003,003083
01,003,003084
01,003,003088
01,003,003090
01,003,003091
01,003,003093
01,003,003095
01,003,003097
01,003,003098
01,003,003100
01,003,003103
01,003,003104
01,003,003106
01,003,003108
01,003,003109
01,003,003112
01,003,003114
01,003,003115
01,003,003116
01,003,003119
01,003,003120
01,003,003121
01,003,003122
01,003,003129
01,003,003130
01,003,003131
01,003,003133
01,003,003134
01,003,003135
01,003,003138
01,003,003139
01,003,003140
01,003,003141
01,003,003143
01,003,003144
01,003,003146
01,003,003149
01,003,003153
01,003,003154
01,003,003158
01,003,003159
01,003,003164
01,003,003166
01,004,004001
01,004,004002
01,004,004003
01,004,004004
01,004,004005
01,004,004006
01,004,004007
01,004,004008
01,004,004009
01,004,004010
01,004,004011
01,004,004012
01,004,004013
01,004,004014
01,004,004015
01,004,004016
01,004,004017
01,004,004018
01,004,004019
01,004,004020
01,004,004021
01,004,004022
01,004,004023
01,004,004024
01,004,004025
01,004,004026
01,004,004027
01,004,004028
01,004,004029
01,004,004030
01,004,004031
01,004,004032
01,004,004033
01,004,004034
01,004,004035
01,004,004037
01,004,004038
01,004,004039
01,004,004040
01,004,004041
01,004,004042
01,004,004043
01,004,004044
01,004,004045
01,004,004046
01,004,004047
01,004,004049
01,004,004050
01,004,004051
01,004,004052
01,004,004053
01,004,004054
01,004,004055
01,004,004056
01,004,004057
01,004,004058
01,004,004059
01,004,004060
01,004,004061
01,004,004062
01,004,004063
01,004,004064
01,004,004065
01,004,004066
01,004,004067
01,004,004068
01,004,004069
01,004,004070
01,004,004071
01,004,004072
01,004,004073
01,004,004074
01,004,004075
01,004,004076
01,004,004077
01,004,004078
01,004,004079
01,004,004080
01,004,004081
01,004,004082
01,004,004083
01,004,004084
01,004,004085
01,004,004086
01,004,004087
01,004,004088
01,004,004089
01,004,004090
01,004,004091
01,004,004092
01,004,004093
01,004,004094
01,004,004095
01,004,004096
01,004,004097
01,004,004098
01,004,004099
01,004,004100
01,004,004101
01,004,004102
01,004,004103
01,004,004104
01,004,004105
01,004,004106
01,004,004107
01,004,004108
01,004,004109
01,004,004110
01,004,004111
01,004,004112
01,004,004113
01,004,004114
01,004,004115
01,004,004116
01,004,004117
01,004,004118
01,004,004119
01,004,004120
01,004,004121
01,004,004122
01,004,004123
01,004,004124
01,004,004125
01,004,004126
01,004,004127
01,004,004128
01,004,004129
01,004,004130
01,004,004131
01,004,004132
01,004,004133
01,004,004134
01,004,004135
01,004,004136
01,004,004137
01,004,004138
01,004,004139
01,004,004140
01,004,004141
01,004,004142
01,004,004143
01,004,004144
01,004,004145
01,004,004146
01,004,004147
01,004,004148
01,004,004149
01,004,004150
01,004,004151
01,004,004152
01,004,004153
01,004,004154
01,004,004155
01,004,004156
01,004,004157
01,004,004158
01,004,004159
01,004,004160
01,004,004161
01,004,004162
01,004,004163
01,004,004164
01,004,004165
01,004,004166
01,004,004167
01,004,004168
01,004,004169
01,004,004170
01,004,004171
01,004,004172
01,004,004173
01,004,004174
01,004,004175
01,004,004176
01,004,004177
01,004,004178
01,004,004179
01,004,004180
01,004,004181
01,004,004182
01,004,004183
01,004,004184
01,004,004185
01,004,004186
01,004,004187
01,004,004188
01,004,004189
01,004,004190
01,004,004191
01,004,004192
01,004,004193
01,004,004194
01,004,004195
01,004,004196
01,004,004197
01,004,004198
01,004,004199
01,004,004200
01,004,004201
01,004,004202
01,004,004203
01,004,004204
01,004,004205
01,004,004206
01,004,004207
01,004,004208
01,004,004209
01,004,004210
01,004,004211
01,004,004212
01,004,004213
01,004,004214
01,004,004215
01,004,004216
01,004,004217
01,004,004218
01,004,004219
01,004,004220
01,004,004221
01,004,004222
01,004,004223
01,004,004224
01,004,004225
01,004,004226
01,004,004227
01,004,004228
01,004,004229
01,004,004230
01,004,004231
01,004,004232
01,004,004233
01,004,004234
01,004,004235
01,004,004237
01,004,004238
01,004,004239
01,004,004240
01,004,004241
01,004,004242
01,004,004243
01,004,004244
01,004,004245
01,004,004246
01,004,004247
01,004,004248
01,004,004249
01,004,004250
01,005,005001
01,005,005002
01,005,005003
01,005,005004
01,005,005005
01,005,005006
01,005,005007
01,005,005008
01,005,005009
01,005,005010
01,005,005011
01,005,005012
01,005,005013
01,005,005014
01,005,005015
01,005,005016
01,005,005017
01,005,005018
01,005,005019
01,005,005020
01,005,005021
01,005,005022
01,005,005023
01,005,005024
01,005,005025
01,005,005026
01,005,005027
01,005,005028
01,005,005029
01,005,005030
01,005,005031
01,005,005032
01,005,005033
01,005,005034
01,005,005035
01,005,005036
01,005,005037
01,005,005038
01,005,005039
01,005,005040
01,005,005041
01,005,005042
01,005,005044
01,005,005045
01,005,005046
01,005,005047
01,005,005048
01,005,005049
01,005,005050
01,005,005051
01,005,005052
01,005,005053
01,005,005054
01,005,005055
01,005,005056
01,005,005057
01,005,005058
01,005,005059
01,005,005060
01,005,005061
01,005,005062
01,005,005063
01,005,005064
01,005,005065
01,005,005066
01,005,005067
01,005,005068
01,005,005069
01,005,005070
01,005,005071
01,005,005072
01,005,005073
01,005,005074
01,005,005075
01,005,005076
01,005,005077
01,005,005079
01,005,005080
01,005,005081
01,005,005082
01,005,005083
01,005,005084
01,005,005085
01,005,005086
01,005,005087
01,005,005088
01,005,005089
01,005,005090
01,005,005091
01,005,005092
01,005,005093
01,005,005094
01,005,005095
01,005,005096
01,005,005097
01,005,005098
01,005,005099
01,005,005100
01,005,005101
01,005,005103
01,005,005104
01,005,005105
01,005,005106
01,005,005107
01,005,005108
01,005,005109
01,005,005110
01,005,005111
01,005,005112
01,005,005113
01,005,005114
01,005,005115
01,005,005116
01,005,005117
01,005,005118
01,005,005119
01,005,005120
01,005,005121
01,006,006001
01,006,006002
01,006,006003
01,006,006004
01,006,006005
01,006,006007
01,006,006008
01,006,006009
01,006,006010
01,006,006011
01,006,006012
01,006,006013
01,006,006014
01,006,006015
01,006,006016
01,006,006017
01,006,006018
01,006,006019
01,006,006020
01,006,006021
01,006,006022
01,006,006023
01,006,006024
01,006,006025
01,006,006026
01,006,006027
01,006,006028
01,006,006029
01,006,006030
01,006,006031
01,006,006032
01,006,006033
01,006,006034
01,006,006035
01,006,006036
01,006,006037
01,006,006038
01,006,006039
01,006,006040
01,006,006041
01,006,006043
01,006,006044
01,006,006045
01,006,006046
01,006,006047
01,006,006048
01,006,006049
01,006,006050
01,006,006051
01,006,006052
01,006,006053
01,006,006054
01,006,006055
01,006,006056
01,006,006057
01,006,006058
01,006,006059
01,006,006060
01,006,006061
01,006,006062
01,006,006063
01,006,006065
01,006,006066
01,006,006067
01,006,006068
01,006,006069
01,006,006070
01,006,006071
01,006,006072
01,006,006073
01,006,006074
01,006,006075
01,006,006076
01,006,006077
01,006,006078
01,006,006079
01,006,006081
01,006,006082
01,006,006083
01,006,006084
01,006,006085
01,006,006086
01,006,006087
01,006,006088
01,006,006090
01,006,006091
01,006,006092
01,006,006093
01,006,006094
01,006,006095
01,006,006096
01,006,006097
01,006,006098
01,006,006099
01,006,006100
01,006,006101
01,006,006102
01,006,006103
01,006,006104
01,006,006105
01,006,006106
01,006,006107
01,006,006108
01,006,006109
01,006,006110
01,006,006111
01,006,006112
01,006,006113
01,006,006114
01,006,006115
01,006,006116
01,006,006117
01,006,006118
01,006,006119
01,006,006120
01,006,006121
01,006,006122
01,006,006123
01,006,006124
01,006,006125
01,006,006126
01,006,006127
01,006,006128
01,006,006129
01,006,006131
01,006,006132
01,006,006133
01,006,006134
01,006,006135
01,006,006136
01,006,006137
01,006,006138
01,006,006139
01,006,006140
01,006,006141
01,006,006142
01,006,006143
01,006,006144
01,006,006145
01,006,006146
01,006,006147
01,006,006148
01,006,006149
01,006,006150
01,006,006151
01,006,006152
01,006,006153
01,006,006154
01,006,006155
01,006,006156
01,006,006157
01,006,006158
01,006,006159
01,006,006160
01,006,006161
01,006,006162
01,006,006163
01,006,006164
01,006,006165
01,006,006166
01,006,006167
01,006,006168
01,006,006169
01,006,006170
01,006,006171
01,006,006172
01,006,006173
01,006,006174
01,006,006175
01,006,006176
01,006,006177
01,006,006178
01,006,006179
01,006,006180
01,006,006181
01,006,006182
01,006,006183
01,006,006184
01,006,006185
01,006,006186
01,006,006187
01,006,006188
01,006,006189
01,006,006190
01,006,006191
01,006,006192
01,006,006193
01,096,096001
01,096,096002
01,096,096003
01,096,096004
01,096,096005
01,096,096006
01,096,096007
01,096,096008
01,096,096009
01,096,096010
01,096,096012
01,096,096013
01,096,096014
01,096,096015
01,096,096016
01,096,096018
01,096,096019
01,096,096020
01,096,096021
01,096,096023
01,096,096024
01,096,096025
01,096,096026
01,096,096027
01,096,096028
01,096,096030
01,096,096031
01,096,096032
01,096,096033
01,096,096034
01,096,096035
01,096,096037
01,096,096038
01,096,096039
01,096,096040
01,096,096041
01,096,096042
01,096,096043
01,096,096044
01,096,096046
01,096,096047
01,096,096048
01,096,096049
01,096,096050
01,096,096053
01,096,096054
01,096,096055
01,096,096056
01,096,096057
01,096,096058
01,096,096059
01,096,096063
01,096,096064
01,096,096065
01,096,096066
01,096,096067
01,096,096068
01,096,096069
01,096,096071
01,096,096072
01,096,096074
01,096,096075
01,096,096076
01,096,096077
01,096,096078
01,096,096079
01,096,096080
01,096,096081
01,096,096082
01,096,096083
01,096,096085
01,096,096086
01,096,096087
01,096,096088
01,103,103001
01,103,103002
01,103,103003
01,103,103004
01,103,103005
01,103,103006
01,103,103007
01,103,103008
01,103,103009
01,103,103010
01,103,103011
01,103,103012
01,103,103013
01,103,103014
01,103,103015
01,103,103016
01,103,103017
01,103,103018
01,103,103019
01,103,103021
01,103,103022
01,103,103023
01,103,103024
01,103,103025
01,103,103026
01,103,103028
01,103,103029
01,103,103031
01,103,103032
01,103,103033
01,103,103034
01,103,103035
01,103,103036
01,103,103037
01,103,103038
01,103,103039
01,103,103040
01,103,103041
01,103,103042
01,103,103043
01,103,103044
01,103,103045
01,103,103046
01,103,103047
01,103,103048
01,103,103049
01,103,103050
01,103,103051
01,103,103052
01,103,103053
01,103,103054
01,103,103055
01,103,103056
01,103,103057
01,103,103058
01,103,103059
01,103,103060
01,103,103061
01,103,103062
01,103,103064
01,103,103065
01,103,103066
01,103,103067
01,103,103068
01,103,103069
01,103,103070
01,103,103071
01,103,103072
01,103,103074
01,103,103075
01,103,103076
01,103,103077
01,103,103078
01,103,103079
02,007,007001
02,007,007002
02,007,007003
02,007,007004
02,007,007005
02,007,007006
02,007,007007
02,007,007008
02,007,007009
02,007,007010
02,007,007011
02,007,007012
02,007,007013
02,007,007014
02,007,007015
02,007,007016
02,007,007017
02,007,007018
02,007,007019
02,007,007020
02,007,007021
02,007,007022
02,007,007023
02,007,007024
02,007,007025
02,007,007026
02,007,007027
02,007,007028
02,007,007029
02,007,007030
02,007,007031
02,007,007032
02,007,007033
02,007,007034
02,007,007035
02,007,007036
02,007,007037
02,007,007038
02,007,007039
02,007,007040
02,007,007041
02,007,007042
02,007,007043
02,007,007044
02,007,007045
02,007,007046
02,007,007047
02,007,007048
02,007,007049
02,007,007050
02,007,007051
02,007,007052
02,007,007053
02,007,007054
02,007,007055
02,007,007056
02,007,007057
02,007,007058
02,007,007059
02,007,007060
02,007,007061
02,007,007062
02,007,007063
02,007,007064
02,007,007065
02,007,007066
02,007,007067
02,007,007068
02,007,007069
02,007,007070
02,007,007071
02,007,007072
02,007,007073
02,007,007074
03,012,012001
03,012,012002
03,012,012003
03,012,012004
03,012,012005
03,012,012006
03,012,012007
03,012,012008
03,012,012009
03,012,012010
03,012,012011
03,012,012012
03,012,012013
03,012,012014
03,012,012015
03,012,012016
03,012,012017
03,012,012018
03,012,012019
03,012,012020
03,012,012021
03,012,012022
03,012,012023
03,012,012024
03,012,012025
03,012,012026
03,012,012027
03,012,012029
03,012,012030
03,012,012031
03,012,012032
03,012,012033
03,012,012034
03,012,012035
03,012,012036
03,012,012037
03,012,012038
03,012,012039
03,012,012040
03,012,012041
03,012,012042
03,012,012043
03,012,012044
03,012,012045
03,012,012046
03,012,012047
03,012,012048
03,012,012049
03,012,012050
03,012,012051
03,012,012052
03,012,012053
03,012,012054
03,012,012055
03,012,012056
03,012,012057
03,012,012058
03,012,012059
03,012,012060
03,012,012061
03,012,012062
03,012,012063
03,012,012064
03,012,012065
03,012,012066
03,012,012067
03,012,012068
03,012,012069
03,012,012070
03,012,012071
03,012,012072
03,012,012073
03,012,012074
03,012,012075
03,012,012076
03,012,012077
03,012,012078
03,012,012079
03,012,012080
03,012,012081
03,012,012082
03,012,012083
03,012,012084
03,012,012085
03,012,012086
03,012,012087
03,012,012088
03,012,012089
03,012,012090
03,012,012091
03,012,012092
03,012,012093
03,012,012095
03,012,012096
03,012,012097
03,012,012098
03,012,012099
03,012,012100
03,012,012101
03,012,012102
03,012,012103
03,012,012104
03,012,012105
03,012,012106
03,012,012107
03,012,012108
03,012,012109
03,012,012110
03,012,012113
03,012,012114
03,012,012115
03,012,012116
03,012,012117
03,012,012118
03,012,012119
03,012,012120
03,012,012121
03,012,012122
03,012,012123
03,012,012124
03,012,012125
03,012,012126
03,012,012127
03,012,012128
03,012,012129
03,012,012130
03,012,012131
03,012,012132
03,012,012133
03,012,012134
03,012,012136
03,012,012137
03,012,012138
03,012,012139
03,012,012140
03,012,012141
03,012,012142
03,012,012143
03,013,013003
03,013,013004
03,013,013005
03,013,013006
03,013,013007
03,013,013009
03,013,013010
03,013,013011
03,013,013012
03,013,013013
03,013,013015
03,013,013021
03,013,013022
03,013,013023
03,013,013024
03,013,013025
03,013,013026
03,013,013028
03,013,013029
03,013,013030
03,013,013032
03,013,013034
03,013,013035
03,013,013036
03,013,013037
03,013,013040
03,013,013041
03,013,013042
03,013,013043
03,013,013044
03,013,013045
03,013,013046
03,013,013047
03,013,013048
03,013,013052
03,013,013053
03,013,013055
03,013,013058
03,013,013059
03,013,013062
03,013,013063
03,013,013064
03,013,013065
03,013,013068
03,013,013071
03,013,013074
03,013,013075
03,013,013077
03,013,013083
03,013,013084
03,013,013085
03,013,013087
03,013,013089
03,013,013090
03,013,013092
03,013,013095
03,013,013097
03,013,013098
03,013,013099
03,013,013100
03,013,013101
03,013,013102
03,013,013106
03,013,013107
03,013,013110
03,013,013111
03,013,013113
03,013,013114
03,013,013118
03,013,013119
03,013,013120
03,013,013121
03,013,013123
03,013,013126
03,013,013128
03,013,013129
03,013,013130
03,013,013131
03,013,013133
03,013,013134
03,013,013135
03,013,013136
03,013,013137
03,013,013138
03,013,013139
03,013,013143
03,013,013144
03,013,013145
03,013,013147
03,013,013152
03,013,013153
03,013,013154
03,013,013155
03,013,013157
03,013,013159
03,013,013160
03,013,013161
03,013,013163
03,013,013165
03,013,013169
03,013,013170
03,013,013178
03,013,013183
03,013,013184
03,013,013185
03,013,013186
03,013,013187
03,013,013188
03,013,013189
03,013,013192
03,013,013193
03,013,013195
03,013,013197
03,013,013199
03,013,013201
03,013,013202
03,013,013203
03,013,013204
03,013,013206
03,013,013207
03,013,013211
03,013,013212
03,013,013216
03,013,013217
03,013,013218
03,013,013222
03,013,013223
03,013,013226
03,013,013227
03,013,013228
03,013,013229
03,013,013232
03,013,013233
03,013,013234
03,013,013236
03,013,013238
03,013,013239
03,013,013242
03,013,013245
03,013,013246
03,013,013248
03,013,013249
03,013,013250
03,013,013251
03,013,013252
03,013,013253
03,013,013254
03,013,013255
03,014,014001
03,014,014002
03,014,014003
03,014,014004
03,014,014005
03,014,014006
03,014,014007
03,014,014008
03,014,014009
03,014,014010
03,014,014011
03,014,014012
03,014,014013
03,014,014014
03,014,014015
03,014,014016
03,014,014017
03,014,014018
03,014,014019
03,014,014020
03,014,014021
03,014,014022
03,014,014023
03,014,014024
03,014,014025
03,014,014026
03,014,014027
03,014,014028
03,014,014029
03,014,014030
03,014,014031
03,014,014032
03,014,014033
03,014,014034
03,014,014035
03,014,014036
03,014,014037
03,014,014038
03,014,014039
03,014,014040
03,014,014041
03,014,014043
03,014,014044
03,014,014045
03,014,014046
03,014,014047
03,014,014048
03,014,014049
03,014,014050
03,014,014051
03,014,014052
03,014,014053
03,014,014054
03,014,014055
03,014,014056
03,014,014057
03,014,014058
03,014,014059
03,014,014060
03,014,014061
03,014,014062
03,014,014063
03,014,014064
03,014,014065
03,014,014066
03,014,014067
03,014,014068
03,014,014069
03,014,014070
03,014,014071
03,014,014072
03,014,014073
03,014,014074
03,014,014075
03,014,014076
03,014,014077
03,014,014078
03,015,015002
03,015,015005
03,015,015007
03,015,015009
03,015,015010
03,015,015011
03,015,015012
03,015,015014
03,015,015015
03,015,015016
03,015,015019
03,015,015022
03,015,015024
03,015,015026
03,015,015027
03,015,015032
03,015,015035
03,015,015036
03,015,015038
03,015,015040
03,015,015041
03,015,015042
03,015,015044
03,015,015046
03,015,015050
03,015,015051
03,015,015055
03,015,015058
03,015,015059
03,015,015060
03,015,015061
03,015,015062
03,015,015070
03,015,015071
03,015,015072
03,015,015074
03,015,015076
03,015,015077
03,015,015078
03,015,015081
03,015,015082
03,015,015085
03,015,015086
03,015,015087
03,015,015093
03,015,015096
03,015,015097
03,015,015098
03,015,015099
03,015,015101
03,015,015103
03,015,015105
03,015,015106
03,015,015108
03,015,015110
03,015,015112
03,015,015113
03,015,015114
03,015,015115
03,015,015116
03,015,015118
03,015,015122
03,015,015125
03,015,015130
03,015,015131
03,015,015134
03,015,015136
03,015,015139
03,015,015140
03,015,015142
03,015,015144
03,015,015146
03,015,015150
03,015,015151
03,015,015154
03,015,015155
03,015,015157
03,015,015158
03,015,015159
03,015,015164
03,015,015165
03,015,015166
03,015,015167
03,015,015168
03,015,015169
03,015,015170
03,015,015171
03,015,015172
03,015,015173
03,015,015175
03,015,015176
03,015,015177
03,015,015178
03,015,015179
03,015,015181
03,015,015182
03,015,015183
03,015,015184
03,015,015185
03,015,015188
03,015,015189
03,015,015191
03,015,015192
03,015,015194
03,015,015195
03,015,015200
03,015,015201
03,015,015202
03,015,015204
03,015,015205
03,015,015206
03,015,015209
03,015,015210
03,015,015211
03,015,015213
03,015,015219
03,015,015220
03,015,015221
03,015,015222
03,015,015224
03,015,015226
03,015,015229
03,015,015230
03,015,015236
03,015,015237
03,015,015242
03,015,015243
03,015,015244
03,015,015247
03,015,015248
03,015,015249
03,015,015250
03,015,015251
03,016,016001
03,016,016002
03,016,016003
03,016,016004
03,016,016005
03,016,016006
03,016,016007
03,016,016008
03,016,016009
03,016,016010
03,016,016011
03,016,016012
03,016,016013
03,016,016014
03,016,016015
03,016,016016
03,016,016017
03,016,016018
03,016,016019
03,016,016020
03,016,016021
03,016,016022
03,016,016023
03,016,016024
03,016,016025
03,016,016026
03,016,016027
03,016,016028
03,016,016029
03,016,016030
03,016,016031
03,016,016032
03,016,016033
03,016,016034
03,016,016035
03,016,016036
03,016,016037
03,016,016038
03,016,016040
03,016,016041
03,016,016042
03,016,016043
03,016,016044
03,016,016046
03,016,016047
03,016,016048
03,016,016049
03,016,016050
03,016,016051
03,016,016052
03,016,016053
03,016,016055
03,016,016056
03,016,016057
03,016,016058
03,016,016059
03,016,016060
03,016,016061
03,016,016062
03,016,016063
03,016,016064
03,016,016065
03,016,016066
03,016,016067
03,016,016068
03,016,016069
03,016,016070
03,016,016071
03,016,016072
03,016,016073
03,016,016074
03,016,016075
03,016,016076
03,016,016077
03,016,016078
03,016,016079
03,016,016080
03,016,016081
03,016,016082
03,016,016083
03,016,016084
03,016,016085
03,016,016086
03,016,016087
03,016,016088
03,016,016089
03,016,016090
03,016,016091
03,016,016092
03,016,016093
03,016,016094
03,016,016096
03,016,016097
03,016,016098
03,016,016099
03,016,016100
03,016,016101
03,016,016102
03,016,016103
03,016,016104
03,016,016105
03,016,016106
03,016,016107
03,016,016108
03,016,016109
03,016,016110
03,016,016111
03,016,016113
03,016,016114
03,016,016115
03,016,016116
03,016,016117
03,016,016118
03,016,016119
03,016,016120
03,016,016121
03,016,016122
03,016,016123
03,016,016124
03,016,016125
03,016,016126
03,016,016127
03,016,016128
03,016,016129
03,016,016130
03,016,016131
03,016,016132
03,016,016133
03,016,016134
03,016,016135
03,016,016136
03,016,016137
03,016,016139
03,016,016140
03,016,016141
03,016,016142
03,016,016143
03,016,016144
03,016,016145
03,016,016146
03,016,016147
03,016,016148
03,016,016149
03,016,016150
03,016,016151
03,016,016152
03,016,016153
03,016,016154
03,016,016155
03,016,016156
03,016,016157
03,016,016158
03,016,016159
03,016,016160
03,016,016161
03,016,016162
03,016,016163
03,016,016164
03,016,016165
03,016,016166
03,016,016167
03,016,016168
03,016,016169
03,016,016170
03,016,016171
03,016,016172
03,016,016173
03,016,016174
03,016,016175
03,016,016176
03,016,016177
03,016,016178
03,016,016179
03,016,016180
03,016,016182
03,016,016183
03,016,016184
03,016,016185
03,016,016186
03,016,016187
03,016,016188
03,016,016189
03,016,016190
03,016,016191
03,016,016193
03,016,016194
03,016,016195
03,016,016196
03,016,016197
03,016,016198
03,016,016199
03,016,016200
03,016,016201
03,016,016202
03,016,016203
03,016,016204
03,016,016205
03,016,016206
03,016,016207
03,016,016208
03,016,016209
03,016,016210
03,016,016211
03,016,016212
03,016,016213
03,016,016214
03,016,016215
03,016,016216
03,016,016217
03,016,016218
03,016,016219
03,016,016220
03,016,016221
03,016,016222
03,016,016223
03,016,016224
03,016,016225
03,016,016226
03,016,016227
03,016,016229
03,016,016230
03,016,016232
03,016,016233
03,016,016234
03,016,016235
03,016,016236
03,016,016237
03,016,016238
03,016,016239
03,016,016240
03,016,016241
03,016,016242
03,016,016243
03,016,016244
03,016,016245
03,016,016246
03,016,016247
03,016,016248
03,016,016249
03,016,016250
03,016,016251
03,016,016252
03,016,016253
03,017,017001
03,017,017002
